Peer22
Blk0, -1, 0.00000, NO_PARENT
Blk1, 0, 221.38008, Blk0
Blk1, 0, 327.90255, Blk0
Blk1, 0, 872.91515, Blk0
Blk1, 0, 1686.54637, Blk0
Blk1, 0, 3920.45220, Blk0
Blk2, 0, 294.40048, Blk0
Blk2, 0, 380.73837, Blk0
Blk2, 0, 837.85011, Blk0
Blk2, 0, 1651.48133, Blk0
Blk2, 0, 3957.77152, Blk0
Blk3, 0, 353.98854, Blk0
Blk3, 0, 440.32642, Blk0
Blk3, 0, 785.38080, Blk0
Blk3, 0, 1502.05835, Blk0
Blk3, 0, 3808.34853, Blk0
Blk4, 0, 277.28899, Blk0
Blk4, 0, 363.62687, Blk0
Blk4, 0, 760.37998, Blk0
Blk4, 0, 1574.01120, Blk0
Blk4, 0, 3880.30138, Blk0
Blk5, 0, 312.56485, Blk0
Blk5, 0, 355.44497, Blk0
Blk5, 0, 824.59987, Blk0
Blk5, 0, 1638.23109, Blk0
Blk5, 0, 3919.44181, Blk0
Blk6, 0, 378.40768, Blk0
Blk6, 0, 464.74557, Blk0
Blk6, 0, 861.49867, Blk0
Blk6, 0, 1675.12990, Blk0
Blk6, 0, 3713.91491, Blk0
Blk7, 1, 228.25984, Blk1
Blk7, 1, 334.78231, Blk1
Blk7, 1, 879.79491, Blk1
Blk7, 1, 1693.42613, Blk1
Blk7, -1, 3927.33196, NO_PARENT
Blk8, 0, 273.18503, Blk0
Blk8, 0, 296.73887, Blk0
Blk8, 0, 840.32325, Blk0
Blk8, 0, 1653.95447, Blk0
Blk8, 0, 3865.73468, Blk0
Blk9, 0, 283.68154, Blk0
Blk9, 0, 370.01942, Blk0
Blk9, 0, 785.58386, Blk0
Blk9, 0, 1599.21508, Blk0
Blk9, 0, 3905.50527, Blk0
Blk10, 0, 307.07081, Blk0
Blk10, 0, 393.40869, Blk0
Blk10, 0, 713.63897, Blk0
Blk10, 0, 1564.86431, Blk0
Blk10, 0, 3871.15449, Blk0
Blk11, 0, 311.79035, Blk0
Blk11, 0, 398.12823, Blk0
Blk11, 0, 794.88134, Blk0
Blk11, 0, 1608.51256, Blk0
Blk11, 0, 3726.73447, Blk0
Blk12, 1, 383.87798, Blk6
